name,date
A/ROUEN/46942/2021|EPI_ISL_11323845|2021-11-30,2021/11/30
A/Catalonia/NSVH101729016/2022|EPI_ISL_9994939|2022-01-16,2022/1/16
A/Catalonia/NSVH101729816/2022|EPI_ISL_9995286|2022-01-17,2022/1/17
A/Catalonia/NSVH101729473/2022|EPI_ISL_9995287|2022-01-17,2022/1/17
A/Catalonia/NSVH101730739/2022|EPI_ISL_9995288|2022-01-18,2022/1/18
A/Catalonia/NSVH101730626/2022|EPI_ISL_12705831|2022-01-18,2022/1/18
A/Centre/50421/2021|EPI_ISL_11324771|2021-12-20,2021/12/20
A/Netherlands/10088/2022|EPI_ISL_10678427|2022-02-17,2022/2/17
A/Netherlands/10335/2022|EPI_ISL_11309876|2022-03-12,2022/3/12
A/Netherlands/11168/2022|EPI_ISL_12429485|2022-04-06,2022/4/6
A/Netherlands/11151/2022|EPI_ISL_12567876|2022-04-22,2022/4/22
A/Netherlands/11290/2022|EPI_ISL_12567891|2022-04-16,2022/4/16
A/Netherlands/10236/2022|EPI_ISL_11166195|2022-03-02,2022/3/2
A/Romania/447/2022|EPI_ISL_12666781|2022-04-05,2022/4/5
A/Netherlands/10050/2022|EPI_ISL_10073514|2022-02-01,2022/2/1
A/Netherlands/10333/2022|EPI_ISL_11309875|2022-03-07,2022/3/7
A/Netherlands/10132/2022|EPI_ISL_10945275|2022-02-25,2022/2/25
